title,rate,cuisine,location,address,street,price_from,price_till,url
Eat Boss,3.98,['Kafe'],Dago Bawah,,"Jl. Ir. H. Juanda No. 72, Dago Bawah, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/eat-boss-dago-bawah
Braga Art Cafe,4.07,['Kafe'],Braga,,"Jl. Braga No. 68, Braga, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/braga-art-cafe-braga
Cafe D'Pakar,3.93,['Kafe'],Dago Atas,,"Jl. Sekejolang, Dago Atas, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/cafe-d-pakar-dago-atas
Belah Doeren,3.95,['Indonesia'],Progo,,"Jl. Progo No. 3, Progo, Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/belah-doeren-progo
Winglok Hongkong Dimsum,4.40,['China'],Braga,,"Jl. Braga No. 117, Braga, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/winglok-hongkong-dimsum-braga
Greens Foods and View,4.24,['Kafe'],Surapati,,"Jl. Bojong Koneng Atas No. 99D, Surapati, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/greens-foods-and-view-surapati
Nomadic,4.26,['Kafe'],Sukajadi,,"Jl. Jurang No. 94, Sukajadi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/nomadic-sukajadi
Haben Kedai Kopi,4.09,['Kafe'],Astana Anyar,,"Jl. Kalipah Apo No. 7, Astana Anyar, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/haben-kedai-kopi-astana-anyar
Vilo Gelato,4.04,['Es Krim'],Ciumbuleuit,,"Jl. Gunung Kareumbi No. 7, Ciumbuleuit, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/vilo-gelato-ciumbuleuit
Cremeria di Dee,4.05,['Es Krim'],Ciumbuleuit,,"Jl. Ranca Bentang No. 2C, Ciumbuleuit, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/cremeria-di-dee-ciumbuleuit
Katsunyaka,4.00,['Jepang'],Braga,,"Jl. Braga No. 10, Braga, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/katsunyaka-braga
Masa Restaurant,4.02,"['Indonesia', 'Barat']",Trunojoyo,,"Jl. Trunojoyo No. 29, Trunojoyo, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/masa-restaurant-trunojoyo
Kimukatsu,4.09,['Jepang'],Gatot Subroto,"Trans Studio Mall Bandung, Lantai 2","Jl. Gatot Subroto No. 289, Gatot Subroto, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/kimukatsu-gatot-subroto
Mixue,4.09,"['Es Krim', 'Minuman']",Cihampelas,"Cihampelas Walk, Lantai Ground, Young Street","Jl. Cihampelas No. 160, Cihampelas, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/mixue-cihampelas
Tilu Kitchen & Patisserie,4.05,['Kafe'],Riau,,"Jl. LLRE Martadinata No. 81, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/tilu-kitchen-dan-patisserie-riau
Cizz Cheesecake & Friends,4.00,['Toko Kue'],Laswi,,"Jl. Laswi No. 1A, Laswi, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/cizz-cheesecake-dan-friends-laswi
Toko Tahilalats,4.05,['Kafe'],Braga,,"Jl. Braga No. 35, Braga, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/toko-tahilalats-braga
